机构类别,岗位类别,部门,贝睿评级
公募基金,投研类,投资部,1
公募基金,投研类,研究部,1
公募基金,投研类,交易部,1
公募基金,风险管理类,风险管理部,1
公募基金,风险管理类,监察稽核部,2
公募基金,营销类,市场部,1
公募基金,营销类,机构业务部,2
公募基金,运营类,基金清算,2
公募基金,运营类,基金会计,2
公募基金,支持类,行政管理,2
公募基金,支持类,信息技术,2
公募基金,支持类,财务,2
