专业种类,细分专业,贝睿系统分级,偏好岗位
金融强相关,金融学/国际金融,1,投资 研究 投行
金融强相关,金融工程/计量经济学,1,投资 研究
金融强相关,经济学/国际贸易,1,投资 研究
金融强相关,财务管理/会计,1,投行 投资 研究
金融强相关,统计学/数学,1,研究 投资
金融强相关,法学,1,投行
金融强相关,计算机科学/软件工程,1,技术 投资 研究
一般相关,物理/化学/生物等基础学科,2,研究 投资
一般相关,工商管理,2,行政
一般相关,企业管理,2,营销 管理
一般相关,市场营销,2,营销
一般相关,电子商务,2,技术 内部管理
一般相关,信息系统,2,技术 内部管理
金融弱相关,外语,3,
金融弱相关,历史,3,
金融弱相关,中文,3,
金融弱相关,艺术类,3,
金融弱相关,社会学,3,
金融弱相关,心理学,3,
金融弱相关,其他文史类专业,3,
